feature,importance
avg_agi_t,0.32703158049168524
avg_wage_per_earner_t,0.2077625801135974
pct_with_cap_gains_t,0.13687942078132606
total_cap_gains_t,0.07798387757254534
total_interest_t,0.06838567705182437
n_wages_t,0.025731149670488288
n_returns_t,0.02370608893863055
log_returns_t,0.023034174404911418
n_cap_gains_t,0.022757569072122362
total_business_t,0.022671182566923485
n_business_t,0.015997025467201883
total_wages_t,0.01457765919540415
n_interest_t,0.01280773964882436
pct_with_wages_t,0.012220466032521608
pct_with_business_t,0.008453808991993578
