,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AK,0.0241,0.0334,-0.0368,0.087,0.0011,0.0005,986.5812,2505.6114,1.0045
AL,-0.0539,0.0231,-0.0971,-0.0119,0.001,0.0005,496.645,1118.7327,1.0067
AR,-0.042,0.0234,-0.087,0.0006,0.001,0.0005,511.438,1107.8037,1.0068
AZ,-0.0653,0.0245,-0.1115,-0.0204,0.001,0.0005,558.0322,1460.8781,1.0064
CA,0.1222,0.0224,0.0796,0.1631,0.001,0.0005,466.8802,919.9586,1.0073
CO,-0.0979,0.024,-0.1412,-0.0529,0.001,0.0005,526.4135,1228.6972,1.0061
CT,0.3532,0.0246,0.3065,0.3986,0.001,0.0005,555.1548,1515.5927,1.0062
DC,0.3353,0.0482,0.2433,0.4199,0.0011,0.0006,2023.6086,4278.0363,1.0005
DE,0.2618,0.033,0.2002,0.3243,0.0011,0.0004,939.1557,2399.9424,1.003
FL,-0.1973,0.0226,-0.24,-0.1564,0.001,0.0005,466.4449,976.7147,1.0072
GA,-0.1071,0.023,-0.1507,-0.0646,0.0011,0.0005,477.7908,1024.903,1.0069
HI,0.098,0.0332,0.0344,0.1598,0.0011,0.0004,934.8772,2467.8778,1.0032
IA,0.0214,0.0227,-0.0186,0.0648,0.0011,0.0005,464.9548,916.4455,1.0074
ID,-0.1422,0.0253,-0.1885,-0.0946,0.001,0.0005,582.0761,1489.3593,1.0052
IL,0.0583,0.0224,0.0178,0.1006,0.001,0.0005,466.9659,921.8221,1.007
IN,-0.0121,0.023,-0.0558,0.0297,0.001,0.0005,484.4382,1130.2745,1.0066
KS,-0.0338,0.0231,-0.0773,0.0095,0.0011,0.0005,478.2422,1082.8307,1.0073
KY,-0.0652,0.0231,-0.11,-0.0239,0.0011,0.0005,482.3484,1048.2119,1.0066
LA,-0.0902,0.0236,-0.1337,-0.0458,0.001,0.0005,529.4232,1258.9732,1.0061
MA,0.2393,0.0236,0.1954,0.2831,0.0011,0.0005,489.2797,1269.8672,1.0066
MD,0.2049,0.0237,0.1621,0.2501,0.001,0.0005,520.6934,1258.3549,1.0061
ME,-0.0767,0.024,-0.1196,-0.0303,0.001,0.0005,532.0428,1068.8884,1.0067
MI,0.064,0.0228,0.0204,0.1052,0.0011,0.0005,470.0923,1063.9218,1.0074
MN,0.0407,0.0229,-0.0011,0.0843,0.001,0.0005,478.1025,1001.7422,1.0075
MO,-0.144,0.0228,-0.1867,-0.102,0.0011,0.0005,466.3666,1010.1712,1.0074
MS,-0.2183,0.0241,-0.2616,-0.1717,0.001,0.0005,534.0372,1182.1692,1.0059
MT,-0.2365,0.0256,-0.284,-0.1874,0.001,0.0005,612.1467,1496.1001,1.0051
NC,-0.044,0.0228,-0.0859,-0.0008,0.001,0.0005,481.2196,1155.6267,1.0077
ND,0.0199,0.025,-0.0261,0.0664,0.0011,0.0005,556.8411,1280.5093,1.0062
NE,-0.0989,0.0236,-0.1429,-0.0557,0.0011,0.0005,496.5209,1132.2428,1.0069
NH,0.0863,0.0251,0.0397,0.133,0.001,0.0005,599.4823,1526.2458,1.0049
NJ,0.3205,0.0232,0.2776,0.3638,0.001,0.0005,500.124,1206.8894,1.0067
NM,-0.1474,0.0257,-0.1954,-0.1009,0.0011,0.0005,593.9839,1425.4208,1.0061
NV,-0.0426,0.0274,-0.0953,0.007,0.001,0.0004,719.6805,1914.3309,1.0057
NY,0.151,0.0222,0.1093,0.1904,0.001,0.0005,458.5355,1072.4164,1.0078
OH,-0.0736,0.0226,-0.117,-0.0334,0.0011,0.0005,462.2701,1008.6215,1.0079
OK,-0.0494,0.0233,-0.0934,-0.0069,0.001,0.0005,494.8686,1154.3238,1.0065
OR,-0.0797,0.024,-0.1254,-0.0356,0.001,0.0005,530.6993,1169.1237,1.0076
PA,0.0931,0.0225,0.053,0.1366,0.001,0.0005,463.1168,1019.4009,1.0073
RI,0.2814,0.0306,0.223,0.339,0.0011,0.0004,815.8417,1585.1866,1.0051
SC,-0.0992,0.0239,-0.1441,-0.0555,0.001,0.0005,527.5611,1428.246,1.0058
SD,-0.3049,0.0247,-0.3498,-0.2573,0.001,0.0005,553.114,1192.8411,1.0069
TN,-0.041,0.0232,-0.0837,0.0023,0.001,0.0005,496.7199,1059.921,1.0073
TX,-0.0537,0.0222,-0.095,-0.0125,0.001,0.0005,458.7909,877.8173,1.0074
UT,-0.0112,0.0263,-0.0609,0.0372,0.001,0.0005,652.4096,1737.2848,1.0041
VA,0.0135,0.0227,-0.0282,0.0561,0.001,0.0005,471.124,1097.8219,1.0067
VT,-0.0861,0.0251,-0.1312,-0.0372,0.0011,0.0005,570.8955,1398.0866,1.0054
WA,0.025,0.0234,-0.0159,0.07,0.001,0.0005,512.6627,1123.8167,1.0062
WI,-0.0128,0.0229,-0.0549,0.0305,0.001,0.0005,486.427,953.8872,1.0065
WV,0.0327,0.0232,-0.0118,0.0752,0.001,0.0005,502.6026,1210.8763,1.0061
WY,-0.0484,0.0286,-0.1028,0.0033,0.001,0.0004,767.5038,1866.6036,1.0059
