,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,10.9786,0.0516,10.8809,11.0771,0.0021,0.0013,572.4821,1307.9927,1.0046
beta[share_wages],-0.0559,0.0025,-0.0605,-0.0513,0.0,0.0,4703.3222,4654.6989,1.0007
beta[share_business],-0.1073,0.0019,-0.1108,-0.1037,0.0,0.0,4090.7607,4490.1556,1.0001
beta[share_capital_gains],0.0462,0.0025,0.0416,0.0512,0.0,0.0,4209.5235,4615.8827,1.0002
beta[share_interest],-0.006,0.002,-0.0098,-0.0024,0.0,0.0,5425.9266,5163.0414,1.001
beta[share_dividends],0.0467,0.0021,0.0428,0.0505,0.0,0.0,5136.849,4534.5223,1.0003
beta[share_unemployment],-0.149,0.002,-0.1529,-0.1454,0.0,0.0,4304.1854,4652.5378,1.0003
beta[share_social_security],-0.1795,0.002,-0.1833,-0.1757,0.0,0.0,4058.4405,4313.4741,1.0003
beta[income_stability_index],-0.0153,0.0017,-0.0186,-0.0122,0.0,0.0,5089.4711,5338.3533,1.0002
beta[income_diversity_index],0.2354,0.0044,0.2272,0.2438,0.0001,0.0001,3206.6393,3893.5204,1.0003
beta[shock_response_index],0.0056,0.0013,0.0033,0.0081,0.0,0.0,4813.5885,4307.5552,1.0001
sigma_state,0.1494,0.0159,0.1221,0.1799,0.0005,0.0004,863.5611,1432.4103,1.0016
sigma_year,0.152,0.0398,0.091,0.2244,0.0011,0.0011,1302.3733,1654.158,1.0013
sigma_obs,0.2225,0.0008,0.221,0.2241,0.0,0.0,5470.9245,4364.6218,1.0005
