,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
2011,-0.1438,0.0464,-0.2277,-0.0532,0.0015,0.001,953.3857,1585.371,1.002
2012,-0.1176,0.0463,-0.2018,-0.0274,0.0015,0.001,958.3967,1501.3254,1.0019
2013,-0.0978,0.0462,-0.1837,-0.011,0.0015,0.001,962.6957,1522.8603,1.002
2014,-0.1117,0.0463,-0.1962,-0.0238,0.0015,0.001,972.4587,1490.5182,1.0021
2015,-0.0694,0.0464,-0.1599,0.0143,0.0015,0.001,960.9916,1491.3498,1.0021
2016,-0.0347,0.0464,-0.1222,0.0511,0.0015,0.001,964.0892,1534.3611,1.002
2017,-0.0371,0.0463,-0.1227,0.0518,0.0015,0.001,965.0188,1591.275,1.0021
2018,-0.0094,0.0463,-0.094,0.0795,0.0015,0.001,960.7156,1428.1086,1.0021
2019,0.0286,0.0464,-0.0545,0.1199,0.0015,0.001,967.8757,1518.0283,1.0021
2020,0.2842,0.0465,0.1934,0.3689,0.0015,0.001,962.2691,1544.5067,1.0019
2021,0.1144,0.0465,0.0242,0.1999,0.0015,0.001,964.0358,1588.3103,1.0019
2022,0.1889,0.0464,0.1021,0.2771,0.0015,0.001,969.8172,1578.0235,1.0018
