,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,10.9788,0.0542,10.8712,11.076,0.0026,0.0017,426.5969,782.5355,1.0001
beta[share_wages],-0.1034,0.0022,-0.1073,-0.099,0.0,0.0,2064.2343,2394.5342,1.0014
beta[share_business],-0.0329,0.0014,-0.0354,-0.0303,0.0,0.0,3226.0748,2879.9794,1.0009
beta[share_capital_gains],0.1114,0.0022,0.1072,0.1154,0.0,0.0,2584.2942,2501.2967,1.0013
beta[share_interest],0.0342,0.0019,0.0309,0.0379,0.0,0.0,2830.0906,2564.3915,1.0004
beta[share_dividends],0.0972,0.002,0.0937,0.101,0.0,0.0,2456.6081,2484.5158,1.0017
beta[share_unemployment],-0.117,0.0019,-0.1205,-0.1134,0.0,0.0,2947.4784,2378.5669,1.0
beta[share_social_security],-0.1138,0.0018,-0.1172,-0.1106,0.0,0.0,2391.5695,2811.9757,0.9998
sigma_state,0.1598,0.0166,0.1305,0.1904,0.0008,0.0005,419.1849,852.0809,1.0022
sigma_year,0.1625,0.0397,0.0991,0.2373,0.0015,0.001,713.1675,1284.1768,1.0051
sigma_obs,0.2318,0.0009,0.2302,0.2335,0.0,0.0,3451.6272,2589.9554,1.0026
