,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
share_wages,-0.0559,0.0025,-0.0607,-0.0515,0.0,0.0,2624.9126,2513.9508,1.0006
share_business,-0.1073,0.0019,-0.1107,-0.1037,0.0,0.0,2270.6786,2668.6343,1.001
share_capital_gains,0.0462,0.0025,0.0415,0.0511,0.0001,0.0,2501.7448,2813.943,1.0003
share_interest,-0.006,0.002,-0.0098,-0.0025,0.0,0.0,3116.4682,2745.7962,1.0006
share_dividends,0.0467,0.0021,0.0426,0.0504,0.0,0.0,3011.633,2487.1059,1.0003
share_unemployment,-0.149,0.0019,-0.1525,-0.1452,0.0,0.0,2497.9744,2351.4586,1.0013
share_social_security,-0.1795,0.002,-0.1832,-0.1756,0.0,0.0,2477.5976,2413.9433,1.0005
income_stability_index,-0.0153,0.0017,-0.0185,-0.0121,0.0,0.0,2891.8477,2979.6952,1.0
income_diversity_index,0.2354,0.0043,0.2274,0.2441,0.0001,0.0001,1800.3288,1958.8834,1.0016
shock_response_index,0.0056,0.0013,0.0033,0.008,0.0,0.0,2801.5209,2609.1165,1.0012
