,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AK,0.0235,0.0337,-0.0365,0.0879,0.0015,0.0006,504.5707,1204.0847,1.0076
AL,-0.0548,0.0238,-0.0981,-0.0114,0.0016,0.0006,234.6826,703.7752,1.0093
AR,-0.0429,0.024,-0.0881,0.0007,0.0016,0.0007,227.1344,661.6785,1.0094
AZ,-0.066,0.0251,-0.1118,-0.0179,0.0015,0.0006,263.3817,923.647,1.0099
CA,0.1214,0.0229,0.0792,0.1643,0.0016,0.0007,219.1669,571.6611,1.0103
CO,-0.0987,0.0245,-0.1442,-0.054,0.0016,0.0007,243.6822,704.4675,1.0097
CT,0.3522,0.025,0.3028,0.3958,0.0016,0.0006,231.4879,873.9369,1.0088
DC,0.3349,0.0486,0.2444,0.422,0.0015,0.0007,1061.9799,2415.5229,1.0007
DE,0.2609,0.0334,0.1972,0.324,0.0016,0.0006,446.1228,1396.8165,1.0043
FL,-0.198,0.0231,-0.2411,-0.1563,0.0016,0.0007,216.0635,601.5867,1.0113
GA,-0.1079,0.0236,-0.1546,-0.0669,0.0016,0.0007,221.1681,648.9963,1.0112
HI,0.0967,0.0332,0.0344,0.1593,0.0016,0.0006,432.8846,1442.0405,1.0032
IA,0.0206,0.0232,-0.0242,0.0611,0.0016,0.0007,209.0329,551.6379,1.0114
ID,-0.1432,0.0254,-0.1934,-0.0984,0.0015,0.0006,279.6858,911.5137,1.0067
IL,0.0574,0.0229,0.0167,0.1011,0.0016,0.0007,219.3276,564.0576,1.0096
IN,-0.013,0.0234,-0.0573,0.0296,0.0015,0.0007,228.9831,683.0806,1.0098
KS,-0.0346,0.0236,-0.0797,0.0096,0.0016,0.0007,218.7167,712.0515,1.0106
KY,-0.066,0.0237,-0.1113,-0.0236,0.0016,0.0007,214.4702,630.4309,1.0104
LA,-0.0911,0.0242,-0.137,-0.0462,0.0016,0.0007,238.1643,676.4996,1.0088
MA,0.2384,0.024,0.1933,0.283,0.0016,0.0007,224.3244,775.0098,1.0091
MD,0.2039,0.0242,0.1599,0.2493,0.0015,0.0006,250.8154,737.5917,1.0083
ME,-0.0777,0.0245,-0.1227,-0.0319,0.0016,0.0006,222.6966,653.1007,1.0104
MI,0.0631,0.0234,0.017,0.1037,0.0017,0.0007,196.1724,634.2148,1.0103
MN,0.0398,0.0235,-0.0032,0.0844,0.0016,0.0007,216.0441,577.0827,1.0096
MO,-0.1449,0.0233,-0.1887,-0.1017,0.0016,0.0007,226.4031,576.6254,1.0104
MS,-0.2191,0.0246,-0.2664,-0.1747,0.0016,0.0006,248.254,811.664,1.009
MT,-0.2373,0.0258,-0.2858,-0.1874,0.0015,0.0006,290.6267,944.3018,1.0084
NC,-0.0449,0.0234,-0.0865,0.0009,0.0016,0.0007,228.4191,655.0738,1.0102
ND,0.0191,0.0253,-0.0266,0.0664,0.0016,0.0006,249.0619,742.6597,1.0088
NE,-0.0997,0.0242,-0.1438,-0.054,0.0016,0.0007,227.3666,733.0666,1.0101
NH,0.0855,0.0256,0.0392,0.1341,0.0015,0.0006,300.1078,828.48,1.0075
NJ,0.3196,0.0237,0.2764,0.3643,0.0016,0.0007,218.575,693.6424,1.0091
NM,-0.1484,0.026,-0.1958,-0.0996,0.0016,0.0006,271.4511,762.5739,1.0075
NV,-0.0438,0.028,-0.0954,0.007,0.0015,0.0006,372.7366,1237.7833,1.0071
NY,0.1501,0.0228,0.1082,0.1907,0.0016,0.0007,200.0813,605.3756,1.0116
OH,-0.0744,0.0232,-0.1205,-0.0341,0.0016,0.0007,206.6444,563.6451,1.0111
OK,-0.0503,0.0238,-0.0943,-0.0069,0.0016,0.0007,230.5026,660.0193,1.0091
OR,-0.0806,0.0244,-0.1274,-0.0371,0.0016,0.0007,234.9585,769.9711,1.0101
PA,0.0921,0.023,0.0503,0.1363,0.0016,0.0007,206.677,580.9756,1.011
RI,0.2805,0.0311,0.2195,0.3367,0.0016,0.0006,394.1536,1124.1626,1.0076
SC,-0.1001,0.0243,-0.1453,-0.0558,0.0015,0.0006,246.4084,882.1358,1.0077
SD,-0.3057,0.0252,-0.3517,-0.2572,0.0015,0.0006,270.3559,729.0898,1.0094
TN,-0.0419,0.0238,-0.086,0.002,0.0016,0.0007,235.3863,632.9581,1.01
TX,-0.0545,0.0228,-0.0977,-0.0125,0.0016,0.0007,216.551,591.7863,1.0107
UT,-0.0119,0.0267,-0.0635,0.036,0.0015,0.0006,314.7446,1106.3067,1.0069
VA,0.0126,0.0232,-0.0304,0.056,0.0016,0.0007,214.9562,652.5051,1.0098
VT,-0.0869,0.0256,-0.1343,-0.0387,0.0015,0.0006,273.0369,796.0377,1.0079
WA,0.0241,0.0239,-0.0193,0.0686,0.0016,0.0006,233.6209,746.1764,1.009
WI,-0.0135,0.0232,-0.0574,0.0286,0.0016,0.0007,213.1724,604.0483,1.0099
WV,0.0319,0.0239,-0.0134,0.0752,0.0017,0.0007,206.0036,733.3603,1.0091
WY,-0.0497,0.0296,-0.1066,0.0023,0.0015,0.0006,409.5943,1121.1376,1.0058
