,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
2011,-0.1443,0.0455,-0.2245,-0.0543,0.002,0.0013,520.4088,925.5487,1.0037
2012,-0.118,0.0455,-0.1978,-0.0273,0.002,0.0013,524.6026,930.5129,1.0034
2013,-0.0983,0.0453,-0.1779,-0.0087,0.002,0.0013,524.8823,970.5241,1.0036
2014,-0.1122,0.0453,-0.1947,-0.0257,0.0019,0.0013,544.1794,942.7097,1.0039
2015,-0.0699,0.0454,-0.1539,0.0157,0.0019,0.0013,551.6621,935.6555,1.0036
2016,-0.0351,0.0455,-0.1185,0.0509,0.002,0.0013,526.801,917.7353,1.0034
2017,-0.0375,0.0454,-0.1163,0.0533,0.002,0.0013,529.7052,925.2335,1.0036
2018,-0.0099,0.0455,-0.0944,0.0757,0.002,0.0013,524.0698,929.1189,1.0039
2019,0.0281,0.0455,-0.0493,0.1199,0.002,0.0013,536.4323,934.0163,1.0035
2020,0.2837,0.0455,0.1975,0.3689,0.002,0.0013,518.3459,919.9561,1.0035
2021,0.1139,0.0455,0.0318,0.2023,0.002,0.0013,536.5749,921.7343,1.0035
2022,0.1885,0.0455,0.1065,0.277,0.002,0.0013,541.2612,983.0968,1.0033
